,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
92,4.4125,20.0,6.0,1.045662,712.0,3.2511415,38.27,-121.26,1.446
93,4.3365,15.0,5.0202703,1.0472972,455.0,1.5371622,37.29,-121.75,2.21
94,3.3977,31.0,5.443333,1.0533333,944.0,3.1466668,38.28,-122.3,1.587
95,7.9892,37.0,6.0527577,0.9544364,999.0,2.3956835,37.91,-122.53,5.00001
96,2.474,17.0,5.729682,1.0936396,1408.0,2.4876325,37.97,-120.3,1.201
97,5.2177,15.0,7.3844495,1.0161988,3166.0,3.4190066,38.72,-121.25,1.627
98,5.1028,42.0,5.837121,1.060606,753.0,2.8522727,34.23,-118.24,2.921
99,5.0514,48.0,5.971678,0.95642704,1115.0,2.429194,33.99,-118.35,2.691
100,2.2976,25.0,4.976923,1.2230769,1000.0,2.5641026,41.8,-123.38,0.544
101,3.455,34.0,4.4152336,0.97051597,1162.0,2.855037,38.31,-122.3,1.375
102,4.359,15.0,4.135021,1.2798874,943.0,1.326301,37.4,-122.07,1.922
103,4.7361,7.0,7.464968,1.1178344,846.0,2.6942675,34.49,-117.27,1.745
104,2.3675,29.0,2.9001281,1.0409731,3425.0,4.385403,33.94,-118.37,1.494
105,1.7844,11.0,10.19237,2.5146103,2453.0,1.9910715,33.88,-116.36,0.785
106,6.4753,8.0,7.841584,1.1683168,615.0,3.0445545,37.97,-121.81,1.668
107,2.9038,43.0,5.6734176,1.1291139,932.0,2.3594937,40.78,-124.16,0.82
108,7.0318,40.0,6.541353,1.1473684,1551.0,2.332331,34.03,-118.53,5.00001
109,2.7857,30.0,5.1351852,1.174074,1376.0,2.5481482,34.1,-118.03,2.017
110,4.693,11.0,5.8730965,1.0507615,2760.0,2.8020306,34.23,-119.01,2.322
111,3.6875,23.0,5.07701,1.0124575,2136.0,2.4190261,35.4,-118.95,1.017
112,3.0893,22.0,4.732049,1.1471103,2664.0,4.665499,34.41,-118.92,1.734
113,3.3482,30.0,5.6804123,0.97938144,800.0,2.749141,37.67,-121.09,2.2
114,3.0357,39.0,3.511811,1.015748,317.0,2.496063,37.37,-121.95,2.083
115,5.8864,13.0,5.2394366,0.97183096,800.0,2.2535212,33.96,-118.43,5.00001
116,5.4618,13.0,36.060608,7.1060605,309.0,2.340909,34.23,-116.86,1.478
117,2.6172,40.0,4.452055,1.1621004,1038.0,2.369863,34.15,-118.11,1.961
118,2.2917,30.0,3.6067615,1.0836298,1425.0,2.535587,34.02,-118.48,3.308
119,2.2361,47.0,4.941476,1.0941476,1074.0,2.7328243,38.01,-121.81,1.051
120,2.0523,44.0,4.2207794,1.122078,825.0,2.142857,38.02,-122.14,1.339
121,5.0508,32.0,7.575688,1.1009175,1185.0,2.71789,38.59,-121.36,2.257
122,1.5489,13.0,5.65,1.284375,735.0,2.296875,34.15,-116.33,0.574
123,1.7574,11.0,4.0,1.1219512,895.0,1.984479,39.42,-123.85,1.5
124,6.5483,20.0,7.5885167,0.8947368,699.0,3.3444977,34.3,-118.71,3.35
125,3.4583,28.0,4.28125,1.0677084,627.0,3.265625,33.84,-118.21,1.663
126,2.2411,20.0,3.8355706,1.1610738,578.0,1.9395974,37.96,-122.04,1.518
127,2.652,31.0,4.93135,1.194508,1858.0,4.251716,37.6,-122.02,1.598
128,1.7679,39.0,5.0,0.8888889,22.0,2.4444444,37.63,-120.92,4.5
129,3.9271,43.0,5.296188,0.9941349,764.0,2.2404692,38.58,-121.44,1.471
130,8.0103,20.0,8.85614,1.0912281,965.0,3.3859649,34.15,-117.66,3.955
131,0.4999,52.0,3.875,0.5625,44.0,2.75,34.06,-117.75,1.125
132,2.9728,36.0,4.299465,0.9973262,1217.0,3.2540107,34.18,-118.37,1.902
133,2.1563,52.0,4.5850143,1.0749279,1118.0,3.2219021,37.8,-122.24,1.286
134,4.6833,17.0,5.2358317,0.89031076,1482.0,2.7093236,38.26,-122.61,2.152
135,2.7386,16.0,3.3673759,1.106383,913.0,1.2950355,32.77,-117.18,0.875
136,2.0325,52.0,4.2183237,1.1812866,2034.0,3.9649122,37.75,-122.41,1.781
137,3.8235,10.0,5.345938,1.0070028,1686.0,2.3613446,36.32,-119.35,0.946
138,4.75,46.0,6.079602,0.9875622,952.0,2.3681593,37.54,-122.31,3.882
139,4.9063,15.0,6.013363,1.0244989,1432.0,3.1893096,34.08,-117.6,1.598
140,2.5719,32.0,4.370253,1.0316455,2677.0,4.2357593,33.9,-118.19,1.056
141,1.6081,35.0,3.3541315,1.06914,1108.0,1.8684654,34.09,-118.35,2.889
142,3.2149,22.0,3.6862745,1.1495098,1224.0,1.5,34.08,-118.37,3.0
143,6.0808,35.0,4.9690723,0.9415808,759.0,2.6082475,34.27,-118.31,2.156
144,6.8323,33.0,6.6039605,0.990099,579.0,2.8663366,37.75,-122.14,2.559
145,3.2656,29.0,5.6216216,1.0926641,2188.0,4.223938,34.11,-117.34,0.906
146,4.025,27.0,5.242009,0.94063926,521.0,2.3789954,40.6,-124.14,1.281
147,6.3093,19.0,6.0371747,1.0193309,5026.0,3.736803,33.85,-118.09,2.865
148,3.2643,29.0,3.688083,1.0715026,1658.0,1.7181348,34.14,-118.13,1.639
149,2.0162,28.0,3.615464,0.9989691,3740.0,3.8556702,33.96,-118.19,1.42
150,1.899,39.0,3.601173,1.111437,851.0,2.4956012,34.96,-120.44,1.133
151,6.541,21.0,7.202439,1.0219512,1397.0,3.4073172,34.16,-118.95,2.915
152,3.0685,13.0,8.149572,2.3247864,575.0,2.457265,37.64,-118.97,1.625
153,1.9911,10.0,5.575668,1.148368,1376.0,4.083086,32.97,-115.52,0.675
154,2.63,52.0,4.5131197,1.0145773,1131.0,3.2973762,34.07,-117.75,1.273
155,4.6708,17.0,6.0716724,0.99658704,1006.0,3.4334471,34.02,-117.32,1.231
156,4.4004,24.0,5.706373,1.0349014,3970.0,3.0121396,37.24,-121.9,2.558
157,2.2804,42.0,3.8280098,1.1253071,1227.0,3.014742,32.72,-117.14,1.391
158,5.2907,34.0,6.5071173,0.95729536,1513.0,2.6921709,32.8,-116.99,1.958
159,2.7797,15.0,5.3435206,1.1100245,1842.0,2.2518337,38.66,-121.33,1.055
160,5.2798,14.0,6.3551846,1.0536352,2093.0,2.4946365,37.96,-121.92,2.374
161,5.5842,5.0,6.929147,0.9871175,2206.0,3.552335,38.04,-121.35,1.591
162,4.025,21.0,5.4789357,1.0487804,1753.0,3.886918,36.89,-121.37,2.938
163,3.274,30.0,4.805646,1.0803474,4196.0,4.5559173,33.89,-118.15,1.483
164,2.7798,15.0,5.195219,1.0458168,1351.0,2.691235,35.48,-120.68,2.058
165,2.489,51.0,4.1653943,1.178117,1543.0,3.9262087,37.78,-122.22,1.191
166,4.005,7.0,4.9667673,1.0211481,1143.0,3.4531722,36.84,-121.44,1.804
167,3.5022,24.0,3.7716763,1.0924855,1322.0,1.9104047,34.02,-118.41,2.813
168,2.7375,36.0,4.870036,1.1245488,1544.0,2.7870035,34.2,-118.44,2.349
169,9.0683,15.0,7.226236,1.0304183,1992.0,3.7870722,33.89,-117.97,3.674
170,5.5164,15.0,6.644013,1.0388349,993.0,3.2135923,32.75,-116.87,2.489
171,4.5547,10.0,6.28,1.0514286,1645.0,4.7,32.57,-117.09,1.607
172,4.5903,13.0,6.7593584,1.0802139,552.0,2.9518716,35.39,-119.12,0.943
173,4.0435,9.0,6.92246,1.2887701,1050.0,2.8074865,38.76,-122.51,1.326
174,4.4118,31.0,4.606513,1.0067843,1886.0,2.5590231,33.93,-118.01,1.744
175,2.5685,20.0,4.795074,1.0,1725.0,1.6995074,38.41,-122.4,2.676
176,4.5833,27.0,5.817259,0.9593909,595.0,3.0203047,34.27,-118.79,1.985
177,2.8274,43.0,4.080734,1.0091743,1598.0,2.93211,33.99,-118.33,1.225
178,3.4471,31.0,5.326389,1.0138888,716.0,2.4861112,38.44,-122.86,2.095
179,2.875,46.0,0.84615386,0.84615386,24.0,1.8461539,34.28,-118.44,1.625
180,5.5636,38.0,6.2911763,1.0088235,809.0,2.3794117,37.89,-122.07,2.688
181,3.2021,45.0,5.281437,1.2005988,679.0,2.0329342,33.99,-118.35,2.221
182,1.3684,52.0,4.0826445,1.1694214,475.0,1.9628099,38.44,-122.71,2.583
183,10.4549,22.0,8.388136,1.0610169,1850.0,3.1355932,37.94,-122.12,5.00001
184,1.5781,16.0,4.9885497,1.0973282,1163.0,2.2194657,34.4,-118.9,1.344
185,3.5859,30.0,5.0512047,1.120482,1021.0,3.0753012,33.9,-117.99,1.997
186,3.2481,34.0,5.528226,0.98991936,1761.0,3.550403,34.08,-117.72,1.288
187,4.7125,27.0,6.4215117,1.0261627,1034.0,3.0058138,34.21,-118.58,2.509
188,3.4821,16.0,5.008989,1.0292134,1199.0,2.694382,37.75,-121.44,1.706
189,3.1312,49.0,5.8318586,1.159292,741.0,2.1858406,38.51,-122.48,2.476
190,0.8106,16.0,3.43,1.085,614.0,3.07,34.64,-120.46,0.833
191,3.8719,29.0,5.4846745,1.0229886,1392.0,2.6666667,32.8,-117.12,1.742
192,5.2155,36.0,5.7916665,1.0297619,871.0,2.5922618,33.82,-118.1,2.548
193,3.2308,34.0,4.595908,1.1713555,775.0,1.9820971,33.05,-117.3,3.313
194,4.1607,52.0,4.683363,1.0930233,1328.0,2.375671,37.8,-122.41,3.5
195,2.5924,19.0,3.6426427,1.0998498,3171.0,2.3806307,34.15,-118.24,1.929
196,8.1844,22.0,7.8170733,1.0463414,1083.0,2.6414635,32.81,-117.23,4.063
197,5.2527,25.0,6.7704916,1.0102459,1464.0,3.0,38.28,-122.04,1.306
198,4.375,29.0,5.4813895,1.101737,952.0,2.362283,34.2,-118.32,3.412
199,8.1356,25.0,7.8704,1.0576,2183.0,3.4928,34.27,-118.55,3.528
200,2.9125,32.0,8.057416,1.7177033,454.0,2.1722488,39.17,-120.15,1.458
201,3.4227,26.0,3.7482839,1.0457666,1155.0,2.6430206,34.11,-118.19,1.438
202,4.8036,45.0,5.344749,1.0525115,1092.0,2.4931507,37.75,-122.49,2.978
203,2.2647,25.0,4.392628,0.9983974,2272.0,3.6410255,34.4,-119.88,2.167
204,6.4664,25.0,6.1923075,0.8786982,983.0,2.908284,37.31,-121.78,2.715
205,1.4779,44.0,4.9008265,1.1239669,364.0,3.0082645,35.37,-119.01,0.66
206,2.4567,43.0,5.006579,1.0723684,1456.0,2.3947368,35.62,-120.69,1.4
207,3.4107,29.0,4.256757,0.9797297,378.0,2.554054,34.13,-117.86,1.708
208,4.05,35.0,4.0747423,1.0876288,580.0,1.4948454,37.76,-122.44,4.231
209,3.0704,18.0,5.365749,1.0611016,4127.0,3.551635,33.19,-117.29,1.516
210,3.3611,23.0,5.326923,0.978022,841.0,2.3104396,37.63,-122.06,1.692
211,3.5179,36.0,6.339196,1.0075377,927.0,2.3291457,38.59,-121.37,2.078
212,3.35,36.0,4.2853537,0.9949495,1274.0,3.2171717,33.8,-118.25,1.631
213,2.6563,29.0,4.2434783,0.9391304,308.0,2.6782608,37.87,-121.29,1.031
214,4.0833,29.0,5.0530033,0.96466434,872.0,3.0812721,33.97,-117.53,1.41
215,5.5944,19.0,6.2401433,1.0537634,632.0,2.265233,37.24,-121.94,2.905
216,3.48,52.0,4.757282,1.0679612,689.0,2.2297735,37.83,-122.26,1.914
217,5.8195,25.0,6.585513,0.9617706,1645.0,3.309859,33.71,-117.97,2.861
218,2.7083,52.0,4.7563024,0.9222689,1403.0,2.947479,38.02,-121.87,0.994
219,2.4516,36.0,3.6062324,1.0736544,1398.0,3.96034,33.99,-118.19,1.478
220,1.7981,41.0,3.296588,1.0262467,1511.0,3.9658792,34.02,-118.16,1.66
221,3.625,25.0,5.329137,0.9928058,1162.0,2.0899282,32.8,-117.08,1.845
222,2.1765,10.0,4.3120203,1.0588236,1000.0,2.5575447,32.61,-117.07,1.284
223,4.1528,15.0,7.3893557,1.2016807,1289.0,3.6106443,36.76,-121.34,3.368
224,5.2336,34.0,6.3827586,1.0034482,784.0,2.7034483,33.88,-117.91,2.356
225,2.4659,32.0,5.3564153,1.1384928,1069.0,2.1771894,33.86,-118.15,2.09
226,3.8088,34.0,5.6305733,0.96496814,888.0,2.8280256,36.8,-119.7,0.877
227,3.7147,4.0,4.367857,1.1107143,1315.0,2.3482144,33.7,-117.77,1.375
228,4.7768,52.0,5.853755,1.1007905,1215.0,2.4011858,37.33,-121.92,3.011
229,4.8073,11.0,6.669528,1.1158798,793.0,3.4034336,38.28,-121.29,1.567
230,4.4063,15.0,6.10443,1.0031645,1237.0,3.914557,34.0,-117.5,1.285
231,4.7143,35.0,6.1030927,1.0309278,572.0,2.9484537,37.65,-122.09,1.938
232,3.0156,32.0,4.885906,0.9127517,461.0,3.0939598,36.57,-119.3,1.091
233,6.0704,26.0,7.359091,1.0181818,706.0,3.209091,37.94,-122.01,2.68
234,4.8988,13.0,5.1132436,0.99424183,1468.0,2.8176584,34.32,-118.47,3.252
235,2.3929,31.0,3.7445054,1.1758242,1897.0,5.2115383,33.97,-118.16,1.911
236,2.2461,35.0,3.796875,1.0546875,550.0,2.1484375,34.18,-118.44,2.15
237,1.9766,27.0,3.6852791,1.0642978,2379.0,4.0253806,34.06,-117.77,1.08
238,2.9091,23.0,6.794224,1.4945848,673.0,2.4296029,38.93,-119.99,1.419
239,2.4464,33.0,3.52,0.9066667,964.0,3.2133334,34.06,-117.78,1.287
240,6.0488,26.0,5.8267975,0.9738562,1048.0,3.4248366,33.82,-117.88,2.32
241,7.1148,28.0,6.8299713,1.0144092,832.0,2.3976946,33.63,-117.9,5.00001
242,3.0549,7.0,5.196352,1.0643777,2223.0,2.385193,40.58,-122.34,1.017
243,6.0531,26.0,6.6858406,1.0530974,1852.0,4.0973454,33.86,-118.25,1.864
244,1.0938,20.0,1.1304348,1.0434783,120.0,1.7391304,37.37,-121.9,1.875
245,5.444,37.0,5.92278,0.996139,751.0,2.8996139,34.0,-118.4,3.36
246,5.0318,24.0,6.509934,0.99006623,786.0,2.602649,34.03,-117.31,1.345
247,7.3841,40.0,6.698413,1.0,158.0,2.5079365,37.65,-120.98,1.722
248,2.8472,35.0,4.399361,1.1182109,792.0,2.5303514,32.83,-117.2,1.614
249,2.4814,20.0,5.389972,1.011142,1319.0,3.6740947,36.58,-119.9,0.746
250,3.5938,36.0,5.7438426,1.0640393,504.0,2.4827585,39.15,-123.22,1.221
251,1.8839,25.0,5.2322946,1.0509915,1460.0,4.1359773,36.31,-119.61,0.463
252,3.9,36.0,5.2727275,0.9220779,268.0,3.4805195,33.89,-118.25,1.158
253,1.6821,18.0,4.9356985,1.0864745,859.0,1.9046563,40.57,-122.35,0.694
254,3.1012,34.0,3.6923077,0.9467456,1960.0,5.7988167,33.9,-118.18,1.404
255,4.8571,28.0,6.5910783,1.0334573,804.0,2.9888475,37.67,-121.78,2.011
256,3.2375,25.0,3.3925233,1.2803738,411.0,1.9205607,36.14,-121.62,4.5
257,4.9107,34.0,5.585366,0.9878049,552.0,3.3658535,33.91,-118.13,2.22
258,7.611,5.0,6.8557763,1.0614423,7427.0,2.732524,37.72,-122.24,3.507
259,3.0967,35.0,3.8228884,0.92098093,1415.0,3.8555858,33.91,-118.16,1.44
260,2.8702,36.0,5.2455697,1.0329114,964.0,2.4405062,34.07,-117.66,1.37
261,2.1696,39.0,2.7240567,1.0212264,1857.0,4.379717,34.04,-118.28,1.534
262,7.7317,16.0,7.4274807,0.99236643,1454.0,2.7748091,33.01,-117.25,3.96
263,5.2849,16.0,5.9073033,0.9775281,1305.0,3.6657302,34.02,-117.6,1.604
264,2.7515,33.0,4.235772,1.1300813,1785.0,1.8140244,32.74,-117.28,2.477
265,1.3125,50.0,3.94,1.236,621.0,2.484,37.3,-120.49,0.609
266,3.9722,36.0,5.850467,0.9766355,558.0,2.6074767,33.81,-118.11,2.356
267,2.6528,9.0,5.116814,1.0477877,3026.0,2.677876,35.59,-120.63,1.135
268,11.0567,5.0,9.636036,1.1873873,1862.0,3.354955,33.6,-117.58,4.954
269,2.1473,29.0,3.853846,1.0538461,1368.0,3.5076923,33.74,-118.29,1.953
270,2.125,17.0,16.8125,4.421875,171.0,2.671875,39.4,-120.09,0.839
271,5.0,31.0,10.821428,2.0892856,1408.0,2.7936509,34.22,-117.21,1.611
272,1.4886,15.0,3.1047618,1.1714286,490.0,4.6666665,34.06,-118.26,1.75
273,1.5045,43.0,4.5896807,1.1203932,1061.0,2.6068797,37.82,-122.27,0.938
274,7.585,31.0,6.4500847,1.0067682,1645.0,2.783418,34.24,-118.24,3.801
275,4.3762,11.0,6.0866027,1.0906713,8738.0,2.5393782,33.19,-117.31,2.155
276,2.0789,34.0,4.2163744,0.9649123,661.0,3.865497,33.94,-118.27,0.924
277,3.6442,17.0,4.5845866,1.0413533,1161.0,2.1823308,33.8,-118.07,1.931
278,3.0691,16.0,3.933911,1.0552546,2585.0,2.8006501,34.19,-118.92,1.304
279,2.3205,29.0,4.636513,1.0476974,1683.0,2.7680922,34.1,-117.36,0.876
280,6.223,10.0,5.7408695,1.0313044,2190.0,3.8086956,37.27,-121.8,2.607
281,2.1422,19.0,3.799517,1.1376811,844.0,2.0386474,32.81,-116.97,1.25
282,2.0259,42.0,4.8119893,1.1008174,1117.0,3.0435967,34.04,-118.32,1.688
283,5.6276,35.0,6.558242,0.9802198,1435.0,3.1538463,33.83,-117.89,2.008
284,5.7192,14.0,5.678063,0.96153843,2065.0,2.9415956,32.68,-117.02,2.674
285,6.2661,4.0,6.2901554,1.0388601,959.0,2.484456,33.51,-117.68,2.685
286,1.75,17.0,5.474359,1.4711539,633.0,2.0288463,38.96,-122.63,0.64
287,2.6368,34.0,5.7690215,1.0516304,1310.0,3.5597825,37.72,-121.22,1.656
288,2.7188,43.0,5.188755,1.2329317,647.0,2.5983937,38.75,-121.27,0.853
289,3.525,20.0,4.4291725,0.9593268,2396.0,3.3604488,34.11,-117.91,1.53
290,3.201,44.0,4.3667207,1.0710824,1045.0,1.6882068,34.07,-118.37,2.875
291,4.1098,14.0,5.9402795,1.0533673,2235.0,2.8398983,36.83,-119.74,1.082
292,6.3794,35.0,6.8277154,1.0337079,1409.0,2.6385767,34.2,-118.21,5.00001
293,4.6674,16.0,5.722154,1.0208079,2188.0,2.6780906,32.84,-116.92,1.78
294,3.5488,8.0,4.7682185,0.97469634,3310.0,3.3502023,34.09,-117.46,1.016
295,4.1544,19.0,4.7916665,1.1532258,1639.0,2.202957,37.4,-122.08,2.77
296,5.3661,10.0,5.762452,1.019157,1381.0,2.645594,38.06,-122.15,1.958
297,5.9291,23.0,5.1666665,1.0128205,373.0,2.3910255,37.4,-122.08,2.846
298,3.3849,16.0,3.5700417,1.0693481,1129.0,1.5658808,32.79,-117.11,0.969
299,5.3735,36.0,5.681818,0.9744318,956.0,2.715909,33.83,-118.1,2.344
300,0.8984,32.0,4.201581,1.1146245,992.0,3.9209485,33.93,-118.24,0.887
301,2.9107,28.0,4.0833335,0.9814815,504.0,4.6666665,34.07,-117.98,1.525
302,6.4459,51.0,6.17451,1.017647,1082.0,2.1215687,34.1,-118.27,4.216
303,5.0779,34.0,5.4871793,0.99013805,1219.0,2.4043393,37.93,-122.52,3.339
304,5.8186,52.0,4.7968397,0.97291195,1014.0,2.288939,37.31,-121.9,2.811
